case_id,Country_Code,open_date,close_date,activation_date,removal_date,product_type,record_type,stage,id,status,create_date,scheduled_date,fulfilled_date,type,vendor,region,cycle_time
321599855-6,US,,,,,Apt Locker,Dobby NA,,105058240-3,New,3/31/24,,,Decommission,NSA,US,
478272581-7,MX,,,,,Locker,Location Locker/Counter,,625011867-5,New,3/1/24,,,Advertising,NSA,MX,
833789034-7,US,,,,,Locker,Location Locker/Counter NA,Install,560075274-1,Failure,2/10/24,2/13/24,,Install,NSA,US,
992199860-9,DE,,,,,Locker,Location Locker/Counter NA,,550587734-6,Fulfilled,4/28/24,5/3/24,5/11/24,Advertising,Brendamour,DE,13
418717681-0,ES,,,,,Locker,Location Locker/Counter,Compliance,118846836-7,Cancelled,2/17/24,2/18/24,,Permit,NSA,ES,
361664470-4,FR,,,,,Locker,Location Locker/Counter NA,,604162692-9,New,4/13/24,,,Decommission,Brendamour,FR,
578646127-0,DE,,,,,Locker,Location Locker/Counter NA,,841532165-1,Cancelled,3/7/24,3/9/24,,Removal,NSA,DE,
787949580-0,DE,,,,,Locker,Location Locker/Counter NA,,000576532-3,New,5/27/24,,,Removal,NSA,DE,
846302063-1,JP,,,,,Locker,Location Locker/Counter NA,Survey,410477276-3,New,2/5/24,,,Survey,Brendamour,JP,
361593255-2,CA,,,,,Apt Locker Pro,Location,,838895898-4,New,2/25/24,,,Decommission,NSA,CA,
702512248-3,MX,,,,,Locker,Location Locker/Counter,,941955289-6,Failure,4/17/24,4/18/24,,Decommission,Redbox,MX,
420264554-5,IT,,,,,Apt Locker,Dobby,,566693420-1,Cancelled,4/22/24,4/27/24,,Removal,NSA,IT,
748174061-5,US,,,,,Apt Locker,Dobby,,914426401-1,Failure,3/27/24,3/29/24,,Decommission,NSA,US,
802209190-1,DE,,45394,45394,45394,Apt Locker,Dobby,Closed,206279643-9,Complete,4/1/24,4/3/24,4/12/24,Removal,NSA,DE,11
795393958-4,PT,,,,,Apt Locker Pro,Location,,075900772-1,Fulfilled,1/8/24,1/13/24,1/31/24,Advertising,NSA,PT,23
043366179-8,IT,,45456,45456,45456,Locker,Location Locker/Counter,Closed,614680905-5,Complete,5/30/24,6/1/24,6/13/24,Decommission,NSA,IT,14
803031364-0,IT,,,,,Locker,Location Locker/Counter,Survey,132764868-7,New,1/3/24,,,Survey,Brendamour,IT,
784433625-0,MX,,,,,Apt Locker,Dobby,,854957786-3,New,4/1/24,,,Decommission,Redbox,MX,
659192433-7,AT,,,,,Apt Locker Pro,Location,Survey,051914940-8,Cancelled,2/26/24,3/1/24,,Survey,Redbox,AT,
175217572-7,CA,,,,,Locker,Location Locker/Counter,Install,379363838-3,Scheduled,3/2/24,3/4/24,,Install,NSA,CA,
279674772-7,DE,,,,,Apt Locker,Dobby NA,Compliance,312969615-6,Complete,3/2/24,3/7/24,3/16/24,Permit,Redbox,DE,14
076970897-8,JP,,,,,Locker,Location Locker/Counter,,772978664-8,Scheduled,3/6/24,3/9/24,,Decommission,Redbox,JP,
966651849-X,AT,,,,,Apt Locker Pro,Location,,386366319-5,Scheduled,2/1/24,2/5/24,,Decommission,Redbox,AT,
042168283-3,MX,,,,,Apt Locker,Dobby,Install,928878100-5,Cancelled,2/13/24,2/17/24,,Install,Redbox,MX,
749462621-2,IT,,45470,45470,,Apt Locker,Dobby,Closed,287175058-0,Complete,5/14/24,5/18/24,6/27/24,Install,Brendamour,IT,44
720718280-5,FR,,,,,Locker,Location Locker/Counter,Compliance,202356735-1,Cancelled,5/16/24,5/19/24,,Permit,Brendamour,FR,
051181682-0,IT,,45347,45347,45347,Locker,Location Locker/Counter NA,Closed,548120719-2,Fulfilled,2/5/24,2/9/24,2/25/24,Removal,NSA,IT,20
539246901-9,ES,,,,,Apt Locker Pro,Location,,338512720-3,New,3/2/24,,,Removal,NSA,ES,
818942927-2,JP,,,,,Apt Locker Pro,Location,Survey,641715789-X,Complete,2/8/24,2/12/24,2/27/24,Survey,Redbox,JP,19
947971724-7,MX,,,,,Apt Locker,Dobby,,426005006-0,Cancelled,4/21/24,4/22/24,,Removal,Redbox,MX,
265560640-X,AU,,,,,Apt Locker,Dobby NA,,000085395-X,Scheduled,4/2/24,4/7/24,,Decommission,Brendamour,AU,
888322737-9,FR,,,,,Apt Locker Pro,Location,,309800058-9,Cancelled,3/6/24,3/8/24,,Advertising,Brendamour,FR,
610092106-5,JP,,45333,45333,45333,Apt Locker,Dobby,Closed,654212613-9,Complete,2/1/24,2/2/24,2/11/24,Removal,Brendamour,JP,10
893081943-5,FR,,,,,Apt Locker,Dobby,Install,703373514-6,Scheduled,1/22/24,1/26/24,,Install,Redbox,FR,
930342968-0,AT,,,,,Locker,Location Locker/Counter NA,,059891004-2,New,2/23/24,,,Advertising,NSA,AT,
799107604-0,DE,,,,,Apt Locker,Dobby NA,Install,645310085-1,Cancelled,2/20/24,2/25/24,,Install,NSA,DE,
158613697-6,AU,,,,,Apt Locker,Dobby,Compliance,736652765-3,Scheduled,4/2/24,4/5/24,,Permit,Brendamour,AU,
527614315-3,AU,,,,,Locker,Location Locker/Counter,Install,755779227-0,Cancelled,5/6/24,5/10/24,,Install,Brendamour,AU,
411298281-X,IT,,,,,Locker,Location Locker/Counter,,356132806-7,New,4/1/24,,,Decommission,Brendamour,IT,
772202760-1,PT,,,,,Locker,Location Locker/Counter,,968026065-8,New,5/17/24,,,Removal,NSA,PT,
561733796-3,ES,,,,,Apt Locker,Dobby NA,,925855145-1,Cancelled,1/17/24,1/20/24,,Advertising,Redbox,ES,
430656811-3,DE,,45358,45358,,Apt Locker Pro,Location,Closed,355935796-9,Complete,1/25/24,1/26/24,3/7/24,Install,Brendamour,DE,42
436367464-4,ES,,,,,Locker,Location Locker/Counter,Survey,887336449-7,Failure,1/7/24,1/9/24,,Survey,NSA,ES,
249082476-7,MX,,,,,Apt Locker,Dobby NA,,861885643-6,Cancelled,5/20/24,5/25/24,,Removal,Brendamour,MX,
872167918-5,IT,,,,,Locker,Location Locker/Counter,Survey,850511449-3,Cancelled,1/17/24,1/20/24,,Survey,Redbox,IT,
264070704-3,AT,,,,,Apt Locker Pro,Location,Compliance,956419416-4,Scheduled,3/8/24,3/10/24,,Permit,Brendamour,AT,
409767434-X,JP,,,,,Apt Locker,Dobby NA,Install,507739231-5,Failure,4/13/24,4/17/24,,Install,NSA,JP,
919754460-4,AT,,,,,Apt Locker,Dobby,Compliance,834833033-X,Complete,1/19/24,1/20/24,2/1/24,Permit,NSA,AT,13
028861113-6,AU,,,,,Apt Locker,Dobby,,177187464-3,New,4/25/24,,,Removal,NSA,AU,
876102657-3,AT,,,,,Apt Locker,Dobby NA,Compliance,392233165-3,Scheduled,2/27/24,2/29/24,,Permit,Brendamour,AT,
507449956-9,PT,,45395,45395,45395,Locker,Location Locker/Counter,Closed,748779208-0,Fulfilled,4/5/24,4/10/24,4/13/24,Removal,NSA,PT,8
508245024-7,FR,,,,,Apt Locker,Dobby,Compliance,593036160-6,New,4/10/24,,,Permit,Brendamour,FR,
898036457-1,PT,,,,,Apt Locker,Dobby,,990241928-3,Scheduled,5/4/24,5/9/24,,Decommission,NSA,PT,
020464068-7,IT,,,,,Apt Locker,Dobby NA,Survey,125592766-6,New,3/24/24,,,Survey,NSA,IT,
799356683-5,MX,,,,,Locker,Location Locker/Counter NA,Compliance,779608724-1,Cancelled,5/11/24,5/12/24,,Permit,NSA,MX,
801622395-8,ES,,,,,Apt Locker,Dobby NA,,051214421-4,Failure,5/2/24,5/6/24,,Decommission,Brendamour,ES,
553957087-1,IT,,,,,Apt Locker,Dobby,Survey,827576685-0,Scheduled,2/4/24,2/9/24,,Survey,Brendamour,IT,
978359479-6,US,,45394,45394,,Locker,Location Locker/Counter,Closed,067966949-3,Fulfilled,3/1/24,3/6/24,4/12/24,Install,Redbox,US,42
101886160-2,CA,,,,,Apt Locker,Dobby,Survey,446747103-0,Cancelled,2/28/24,3/3/24,,Survey,Redbox,CA,
891575138-8,ES,,,,,Locker,Location Locker/Counter,Compliance,099754768-5,Complete,2/9/24,2/13/24,2/29/24,Permit,Redbox,ES,20
108116791-2,IT,,,,,Apt Locker,Dobby NA,,111758016-4,Cancelled,4/12/24,4/16/24,,Advertising,NSA,IT,
073021230-0,AU,,,,,Apt Locker,Dobby,Survey,641489803-1,Cancelled,5/27/24,5/29/24,,Survey,NSA,AU,
336243561-0,FR,,,,,Apt Locker,Dobby,Survey,213249345-6,Complete,3/14/24,3/17/24,3/24/24,Survey,NSA,FR,10
170061696-X,ES,,,,,Locker,Location Locker/Counter,Survey,183213507-1,Complete,3/8/24,3/10/24,3/17/24,Survey,Redbox,ES,9
698553866-5,DE,,,,,Apt Locker,Dobby,Survey,797433917-9,Fulfilled,4/16/24,4/18/24,4/24/24,Survey,Redbox,DE,8
119186137-6,JP,,,,,Locker,Location Locker/Counter,,204027891-5,Failure,3/8/24,3/10/24,,Advertising,NSA,JP,
886295250-3,US,,,,,Locker,Location Locker/Counter NA,Compliance,184410160-6,Fulfilled,4/9/24,4/13/24,4/22/24,Permit,Redbox,US,13
338087642-9,AU,,,,,Apt Locker Pro,Location,Survey,467740630-8,Fulfilled,1/10/24,1/12/24,1/29/24,Survey,NSA,AU,19
894064704-1,FR,,,,,Apt Locker Pro,Location,Survey,564422239-X,Cancelled,3/23/24,3/25/24,,Survey,NSA,FR,
611953787-2,US,,,,,Apt Locker,Dobby,Compliance,423567929-5,New,4/5/24,,,Permit,Redbox,US,
601822742-8,ES,,,,,Apt Locker,Dobby,Survey,783223600-0,New,5/16/24,,,Survey,NSA,ES,
449746420-2,FR,,,,,Locker,Location Locker/Counter NA,,557103966-3,Failure,1/30/24,1/31/24,,Removal,NSA,FR,
498121304-2,MX,,,,,Apt Locker,Dobby NA,Survey,042640889-6,Cancelled,2/10/24,2/12/24,,Survey,NSA,MX,
189344123-7,AT,,,,,Locker,Location Locker/Counter,,380982850-5,New,1/10/24,,,Removal,NSA,AT,
229055550-9,AT,,45430,45430,45430,Apt Locker Pro,Location,Closed,669576296-1,Complete,5/4/24,5/7/24,5/18/24,Removal,NSA,AT,14
720308298-9,ES,,,,,Apt Locker Pro,Location,,203736877-1,Cancelled,4/7/24,4/8/24,,Removal,Redbox,ES,
623822306-5,IT,,,,,Apt Locker,Dobby,Install,792771945-9,New,2/19/24,,,Install,NSA,IT,
457824811-9,ES,,,,,Apt Locker Pro,Location,Survey,611788092-8,Scheduled,1/30/24,2/1/24,,Survey,Redbox,ES,
837658475-8,AT,,,,,Apt Locker Pro,Location,Survey,682143173-6,New,1/10/24,,,Survey,NSA,AT,
928312187-2,PT,,,,,Apt Locker,Dobby NA,Compliance,946008812-0,Complete,2/11/24,2/14/24,2/22/24,Permit,Brendamour,PT,11
898139221-8,IT,,,,,Apt Locker,Dobby NA,Survey,798461858-5,Scheduled,2/18/24,2/20/24,,Survey,NSA,IT,
814614066-1,AT,,45356,45356,,Locker,Location Locker/Counter NA,Closed,421478553-3,Complete,2/18/24,2/21/24,3/5/24,Install,NSA,AT,16
588279033-6,MX,,,,,Apt Locker,Dobby NA,Install,620620474-X,Cancelled,4/26/24,4/29/24,,Install,Brendamour,MX,
757616680-0,US,,,,,Locker,Location Locker/Counter NA,Install,670779840-5,New,1/8/24,,,Install,Brendamour,US,
186630698-7,DE,,,,,Apt Locker,Dobby,,605885228-5,Scheduled,3/8/24,3/9/24,,Advertising,Brendamour,DE,
646769275-6,AU,,45328,45328,45328,Locker,Location Locker/Counter,Closed,015264799-6,Fulfilled,1/30/24,2/1/24,2/6/24,Removal,Brendamour,AU,7
987649716-2,IT,,,,,Apt Locker,Dobby NA,Survey,030092201-9,Scheduled,5/25/24,5/28/24,,Survey,Redbox,IT,
168648354-6,AU,,,,,Apt Locker,Dobby NA,,210454545-5,Scheduled,2/8/24,2/10/24,,Removal,NSA,AU,
553592583-7,DE,,,,,Apt Locker,Dobby,Survey,932896000-2,Complete,3/5/24,3/9/24,3/24/24,Survey,Brendamour,DE,19
748032873-7,AU,,,,,Apt Locker Pro,Location,,883247206-6,Scheduled,1/22/24,1/23/24,,Advertising,Brendamour,AU,
945936635-X,FR,,,,,Apt Locker Pro,Location,,525079087-9,Failure,3/7/24,3/12/24,,Removal,Brendamour,FR,
368126343-4,JP,,45422,45422,45422,Apt Locker Pro,Location,Closed,968916869-X,Complete,4/29/24,5/3/24,5/10/24,Decommission,NSA,JP,11
051370918-5,JP,,,,,Locker,Location Locker/Counter NA,Compliance,859322590-X,Failure,4/25/24,4/27/24,,Permit,Redbox,JP,
613190200-3,AT,,,,,Locker,Location Locker/Counter,Survey,121579231-X,Scheduled,4/23/24,4/24/24,,Survey,Brendamour,AT,
598278117-7,DE,,,,,Locker,Location Locker/Counter NA,Survey,229562105-4,Complete,5/7/24,5/11/24,5/27/24,Survey,NSA,DE,20
321283764-0,AT,,,,,Apt Locker,Dobby NA,,297130173-7,Scheduled,1/20/24,1/22/24,,Advertising,NSA,AT,
586787438-9,PT,,,,,Locker,Location Locker/Counter,Survey,039938975-X,Cancelled,3/3/24,3/6/24,,Survey,Redbox,PT,
752365115-1,FR,,,,,Apt Locker Pro,Location,Install,343830397-3,Cancelled,4/14/24,4/17/24,,Install,Redbox,FR,
593389250-5,PT,,,,,Apt Locker Pro,Location,,511173679-4,New,4/14/24,,,Decommission,NSA,PT,
163829120-9,DE,,,,,Locker,Location Locker/Counter,Install,608223599-1,New,12/31/23,,,Install,Redbox,DE,
303463830-2,MX,,,,,Apt Locker,Dobby NA,Survey,907027417-5,Complete,2/29/24,3/3/24,3/16/24,Survey,NSA,MX,16
963558592-6,ES,,,,,Apt Locker Pro,Location,Survey,607859223-8,Complete,3/18/24,3/20/24,4/6/24,Survey,Brendamour,ES,19
783213957-9,AT,,,,,Apt Locker,Dobby NA,Compliance,189573618-8,Scheduled,2/15/24,2/18/24,,Permit,Brendamour,AT,
390997993-9,AT,,,,,Locker,Location Locker/Counter,,810467300-9,Failure,4/5/24,4/6/24,,Decommission,Brendamour,AT,
876843396-4,AU,,,,,Locker,Location Locker/Counter,,535012786-1,New,4/23/24,,,Advertising,Brendamour,AU,
996329330-1,AU,,,,,Locker,Location Locker/Counter,,248566042-5,Failure,3/17/24,3/22/24,,Advertising,Redbox,AU,
141538181-X,US,,,,,Apt Locker,Dobby NA,Install,477053770-0,Scheduled,2/4/24,2/7/24,,Install,Redbox,US,
355258263-0,PT,,,,,Apt Locker,Dobby NA,Survey,548602458-4,Failure,1/5/24,1/6/24,,Survey,Redbox,PT,
471254299-3,PT,,,,,Apt Locker,Dobby,,431897874-5,Failure,1/19/24,1/23/24,,Decommission,Brendamour,PT,
342627117-6,ES,,,,,Apt Locker Pro,Location,Survey,632156092-8,Failure,3/15/24,3/18/24,,Survey,Brendamour,ES,
628258502-3,AU,,,,,Apt Locker,Dobby NA,Survey,873499044-5,New,2/14/24,,,Survey,NSA,AU,
294913588-9,US,,,,,Apt Locker Pro,Location,Survey,705210982-4,Cancelled,5/23/24,5/26/24,,Survey,Redbox,US,
377641044-2,DE,,,,,Locker,Location Locker/Counter,Survey,771633333-X,Complete,3/20/24,3/24/24,4/1/24,Survey,Redbox,DE,12
949153520-X,CA,,,,,Locker,Location Locker/Counter NA,Survey,051195203-1,Fulfilled,3/12/24,3/13/24,3/30/24,Survey,Brendamour,CA,18
219995565-6,DE,,,,,Locker,Location Locker/Counter NA,,010109623-2,Failure,4/25/24,4/27/24,,Removal,Brendamour,DE,
677589427-9,AT,,,,,Locker,Location Locker/Counter NA,Survey,458604145-5,Fulfilled,4/9/24,4/11/24,4/20/24,Survey,Redbox,AT,11
946850873-0,CA,,,,,Apt Locker,Dobby NA,Install,688652781-9,Cancelled,3/6/24,3/7/24,,Install,Brendamour,CA,
989078311-8,US,,,,,Locker,Location Locker/Counter NA,Install,006661666-2,Scheduled,3/5/24,3/8/24,,Install,NSA,US,
657827607-6,JP,,,,,Locker,Location Locker/Counter NA,Survey,012873473-6,Scheduled,3/10/24,3/11/24,,Survey,Brendamour,JP,
701708055-6,PT,,,,,Locker,Location Locker/Counter,,932357945-9,Failure,5/1/24,5/4/24,,Removal,NSA,PT,
186758939-7,DE,,,,,Apt Locker,Dobby,,323457495-2,Cancelled,5/3/24,5/8/24,,Removal,Brendamour,DE,
433961962-0,MX,,45373,45373,45373,Locker,Location Locker/Counter NA,Closed,545590714-X,Complete,2/28/24,3/4/24,3/22/24,Decommission,Redbox,MX,23
383471361-9,PT,,,,,Locker,Location Locker/Counter NA,Install,660499803-7,New,5/23/24,,,Install,Brendamour,PT,
112376407-7,IT,,,,,Locker,Location Locker/Counter NA,,521538784-2,New,2/25/24,,,Decommission,Redbox,IT,
391855070-2,FR,,,,,Apt Locker Pro,Location,Install,051052349-8,Cancelled,5/14/24,5/19/24,,Install,Redbox,FR,
618138649-1,ES,,,,,Apt Locker,Dobby,,346704455-7,Scheduled,2/27/24,3/2/24,,Decommission,Redbox,ES,
753619784-5,US,,,,,Locker,Location Locker/Counter,Survey,878944756-5,Failure,4/20/24,4/21/24,,Survey,Brendamour,US,
796552384-1,AU,,,,,Apt Locker,Dobby NA,Survey,744146542-7,Fulfilled,2/20/24,2/24/24,3/1/24,Survey,NSA,AU,10
302756496-X,US,,,,,Apt Locker,Dobby NA,Survey,911667916-4,Failure,5/19/24,5/22/24,,Survey,Redbox,US,
649547584-5,JP,,,,,Apt Locker,Dobby NA,Install,033218702-0,New,4/15/24,,,Install,Redbox,JP,
547687396-1,PT,,,,,Apt Locker,Dobby,Survey,600510184-6,New,5/29/24,,,Survey,Brendamour,PT,
243809080-4,PT,,,,,Locker,Location Locker/Counter NA,Survey,964967707-0,Failure,1/24/24,1/25/24,,Survey,Brendamour,PT,
168852935-7,FR,,,,,Apt Locker,Dobby NA,,502907373-6,Failure,5/27/24,5/29/24,,Removal,Brendamour,FR,
778507439-9,JP,,,,,Apt Locker,Dobby NA,Install,819731606-6,Cancelled,2/15/24,2/18/24,,Install,NSA,JP,
010828294-5,AT,,,,,Apt Locker,Dobby,,119858879-9,Failure,6/1/24,6/3/24,,Removal,Brendamour,AT,
415830982-4,MX,,45424,45424,45424,Locker,Location Locker/Counter,Closed,083605958-1,Fulfilled,4/19/24,4/24/24,5/12/24,Decommission,Redbox,MX,23
600307804-9,IT,,,,,Apt Locker,Dobby,Survey,901659146-X,Failure,4/6/24,4/7/24,,Survey,Redbox,IT,
115001817-8,AU,,,,,Apt Locker,Dobby NA,Install,600537110-X,Scheduled,3/4/24,3/5/24,,Install,NSA,AU,
085729823-2,AT,,,,,Apt Locker,Dobby NA,Install,767824959-4,Cancelled,1/5/24,1/8/24,,Install,NSA,AT,
788120224-6,FR,,45442,45442,,Apt Locker Pro,Location,Closed,269928329-0,Complete,5/5/24,5/9/24,5/30/24,Install,Redbox,FR,25
737540861-0,DE,,,,,Locker,Location Locker/Counter,,716433524-9,Cancelled,1/10/24,1/15/24,,Decommission,Redbox,DE,
175741655-2,IT,,,,,Apt Locker Pro,Location,,952731011-3,Scheduled,1/16/24,1/18/24,,Decommission,Redbox,IT,
753100477-1,CA,,,,,Locker,Location Locker/Counter,Compliance,062333384-8,Cancelled,5/31/24,6/1/24,,Permit,Redbox,CA,
205679409-8,AU,,,,,Locker,Location Locker/Counter,Survey,323913121-8,Scheduled,4/1/24,4/3/24,,Survey,Brendamour,AU,
791376281-0,US,,,,,Locker,Location Locker/Counter,,328707424-5,New,3/27/24,,,Advertising,Redbox,US,
376429787-5,ES,,,,,Locker,Location Locker/Counter NA,Survey,010672269-7,Fulfilled,5/12/24,5/15/24,5/21/24,Survey,NSA,ES,9
839586086-2,ES,,,,,Apt Locker,Dobby NA,,174559655-0,New,3/19/24,,,Decommission,NSA,ES,
018769114-2,AT,,,,,Apt Locker,Dobby NA,Survey,906440891-2,Complete,3/9/24,3/13/24,3/25/24,Survey,Brendamour,AT,16
859534312-8,IT,,,,,Apt Locker,Dobby NA,Compliance,807684775-3,Cancelled,3/2/24,3/5/24,,Permit,NSA,IT,
934613217-5,MX,,,,,Apt Locker,Dobby NA,Install,377713417-1,Cancelled,4/13/24,4/16/24,,Install,Redbox,MX,
681761098-2,CA,,,,,Locker,Location Locker/Counter NA,,101905838-2,Scheduled,2/27/24,2/29/24,,Advertising,Brendamour,CA,
433711802-0,MX,,45423,45423,,Locker,Location Locker/Counter,Closed,734157488-7,Complete,4/16/24,4/20/24,5/11/24,Install,Brendamour,MX,25
731241000-6,PT,,,,,Apt Locker Pro,Location,Install,019238026-5,Cancelled,2/26/24,3/1/24,,Install,Brendamour,PT,
056420200-2,ES,,,,,Apt Locker,Dobby NA,,292922708-7,Cancelled,3/17/24,3/18/24,,Advertising,NSA,ES,
981682628-3,FR,,,,,Locker,Location Locker/Counter NA,,939386776-3,Failure,1/28/24,1/29/24,,Advertising,NSA,FR,
118603577-3,ES,,,,,Locker,Location Locker/Counter,Compliance,501249357-5,Complete,5/12/24,5/13/24,5/21/24,Permit,NSA,ES,9
103212477-6,CA,,,,,Apt Locker,Dobby NA,Compliance,987879547-0,New,5/25/24,,,Permit,Brendamour,CA,
384806172-4,US,,,,,Locker,Location Locker/Counter,,353568438-2,Failure,4/1/24,4/2/24,,Advertising,NSA,US,
650035055-3,DE,,,,,Apt Locker,Dobby NA,Survey,406459197-6,Complete,1/31/24,2/1/24,2/5/24,Survey,NSA,DE,5
207535882-6,CA,,,,,Apt Locker,Dobby,,259326279-6,Scheduled,2/6/24,2/8/24,,Removal,NSA,CA,
123876463-0,DE,,,,,Apt Locker Pro,Location,Survey,798740850-6,New,5/2/24,,,Survey,Brendamour,DE,
421326775-X,US,,,,,Locker,Location Locker/Counter NA,,044443583-2,Scheduled,2/4/24,2/5/24,,Advertising,NSA,US,
046385516-7,US,,,,,Apt Locker,Dobby,,719830429-X,Cancelled,5/14/24,5/17/24,,Advertising,Brendamour,US,
923507553-X,JP,,,,,Apt Locker,Dobby,Survey,093304208-6,Cancelled,4/21/24,4/26/24,,Survey,Redbox,JP,
644010669-4,AU,,,,,Apt Locker Pro,Location,,288577687-0,Failure,3/4/24,3/5/24,,Removal,Brendamour,AU,
578997193-8,AU,,,,,Apt Locker,Dobby,Compliance,080061968-4,Scheduled,3/15/24,3/19/24,,Permit,NSA,AU,
755191876-0,FR,,,,,Apt Locker Pro,Location,Install,135802917-2,Cancelled,4/14/24,4/16/24,,Install,NSA,FR,
811669298-4,IT,,45418,45418,45418,Apt Locker,Dobby,Closed,788772391-4,Complete,4/15/24,4/20/24,5/6/24,Removal,Brendamour,IT,21
665351317-3,JP,,,,,Locker,Location Locker/Counter NA,,183264475-8,New,5/19/24,,,Decommission,NSA,JP,
726824204-2,US,,,,,Apt Locker,Dobby,,867529279-1,Scheduled,2/6/24,2/10/24,,Decommission,Brendamour,US,
967698952-5,CA,,,,,Locker,Location Locker/Counter NA,Install,694517025-X,Cancelled,1/19/24,1/20/24,,Install,Redbox,CA,
688536887-3,US,,,,,Locker,Location Locker/Counter NA,,701694329-1,Fulfilled,5/5/24,5/9/24,5/20/24,Advertising,Brendamour,US,15
739828011-4,DE,,45349,45349,45349,Locker,Location Locker/Counter NA,Closed,442749683-0,Complete,2/4/24,2/9/24,2/27/24,Removal,Brendamour,DE,23
002363341-7,PT,,,,,Locker,Location Locker/Counter,,980037123-0,Cancelled,1/23/24,1/28/24,,Decommission,Redbox,PT,
954565802-9,DE,,45359,45359,45359,Apt Locker,Dobby,Closed,467073403-2,Complete,2/16/24,2/19/24,3/8/24,Removal,Redbox,DE,21
568309155-1,US,,,,,Apt Locker Pro,Location,Install,483421178-9,Failure,2/28/24,3/4/24,,Install,Brendamour,US,
627761265-4,DE,,45393,45393,45393,Apt Locker,Dobby,Closed,543172766-4,Complete,3/24/24,3/28/24,4/11/24,Removal,NSA,DE,18
191156697-0,ES,,45405,45405,,Locker,Location Locker/Counter NA,Closed,256922396-4,Complete,3/27/24,3/29/24,4/23/24,Install,Brendamour,ES,27
414267622-9,IT,,45337,45337,,Apt Locker,Dobby NA,Closed,170931373-0,Fulfilled,1/19/24,1/21/24,2/15/24,Install,NSA,IT,27
437309220-6,IT,,,,,Apt Locker Pro,Location,,572834955-2,Cancelled,4/17/24,4/18/24,,Decommission,Brendamour,IT,
447178838-8,CA,,45385,45385,,Locker,Location Locker/Counter NA,Closed,458556464-0,Fulfilled,3/19/24,3/21/24,4/3/24,Install,NSA,CA,15
800547321-4,FR,,,,,Locker,Location Locker/Counter NA,Install,774427946-8,Scheduled,1/29/24,1/31/24,,Install,NSA,FR,
977103447-2,JP,,45315,45315,45315,Apt Locker,Dobby NA,Closed,554992879-5,Complete,1/10/24,1/15/24,1/24/24,Decommission,Redbox,JP,14
496496729-8,AU,,,,,Apt Locker,Dobby,Survey,537774792-5,Failure,1/13/24,1/16/24,,Survey,Redbox,AU,
840960079-X,CA,,,,,Locker,Location Locker/Counter NA,Compliance,947585208-5,Fulfilled,5/16/24,5/18/24,5/23/24,Permit,Brendamour,CA,7
683450036-7,JP,,,,,Locker,Location Locker/Counter,,783251052-8,Cancelled,1/7/24,1/9/24,,Advertising,NSA,JP,
980103410-6,DE,,,,,Locker,Location Locker/Counter NA,Install,754246162-1,Scheduled,5/27/24,5/31/24,,Install,NSA,DE,
260193356-9,ES,,,,,Locker,Location Locker/Counter,,213884958-9,Failure,4/19/24,4/21/24,,Advertising,Redbox,ES,
055252742-4,DE,,,,,Locker,Location Locker/Counter NA,Survey,752058445-3,Scheduled,1/16/24,1/19/24,,Survey,Brendamour,DE,
995151222-4,AT,,,,,Apt Locker,Dobby,,726737446-8,New,3/6/24,,,Removal,Redbox,AT,
813031661-7,IT,,,,,Apt Locker,Dobby,,683109858-4,Scheduled,5/21/24,5/23/24,,Decommission,Redbox,IT,
884383477-0,AT,,45330,45330,,Locker,Location Locker/Counter NA,Closed,947139501-1,Complete,1/1/24,1/2/24,2/8/24,Install,NSA,AT,38
868117137-2,AU,,,,,Apt Locker Pro,Location,Compliance,561843892-5,Fulfilled,5/11/24,5/12/24,5/18/24,Permit,Brendamour,AU,7
175494866-9,IT,,,,,Apt Locker,Dobby NA,,065209793-6,Failure,1/9/24,1/14/24,,Decommission,Redbox,IT,
114173247-5,AT,,,,,Apt Locker Pro,Location,Compliance,569834036-6,Failure,2/10/24,2/15/24,,Permit,Brendamour,AT,
928536514-0,PT,,,,,Locker,Location Locker/Counter,Install,485945922-9,New,5/28/24,,,Install,Brendamour,PT,
779638969-8,PT,,,,,Apt Locker Pro,Location,Survey,862708873-X,Failure,2/13/24,2/15/24,,Survey,Brendamour,PT,
878472481-1,PT,,,,,Apt Locker,Dobby NA,Install,225937721-1,Cancelled,2/16/24,2/17/24,,Install,Brendamour,PT,
653076751-7,PT,,,,,Locker,Location Locker/Counter NA,,515344793-6,Scheduled,5/2/24,5/6/24,,Decommission,Brendamour,PT,
728658874-5,ES,,,,,Locker,Location Locker/Counter,,997562120-1,New,4/17/24,,,Advertising,Redbox,ES,
678462300-2,PT,,45350,45350,45350,Apt Locker Pro,Location,Closed,480039245-4,Complete,2/11/24,2/13/24,2/28/24,Removal,NSA,PT,17
711939779-6,AT,,,,,Locker,Location Locker/Counter NA,,174580966-X,New,3/15/24,,,Decommission,Redbox,AT,
532209757-0,MX,,,,,Apt Locker,Dobby,Survey,804980377-5,New,4/13/24,,,Survey,Brendamour,MX,
330993877-8,ES,,,,,Locker,Location Locker/Counter,Survey,618057300-X,New,3/3/24,,,Survey,Brendamour,ES,
473377362-5,MX,,,,,Locker,Location Locker/Counter NA,Survey,756738265-2,Complete,1/3/24,1/7/24,1/15/24,Survey,Redbox,MX,12
732339723-5,AT,,,,,Locker,Location Locker/Counter NA,Install,200150453-5,New,2/6/24,,,Install,Redbox,AT,
